iter	Passed	Remaining
0	319	47649
1	495	36649
2	664	32568
3	871	31793
4	1148	33314
5	1336	32067
6	1556	31790
7	1764	31317
8	1962	30749
9	2141	29985
10	2332	29477
11	2626	30199
12	2845	29991
13	3048	29615
14	3247	29230
15	3504	29349
16	3704	28980
17	3880	28460
18	4035	27826
19	4231	27507
20	4462	27413
21	4632	26953
22	4976	27477
23	5280	27722
24	5589	27946
25	5904	28159
26	6201	28253
27	6451	28111
28	6676	27858
29	6871	27485
30	7025	26967
31	7168	26434
32	7389	26197
33	7557	25785
34	7711	25338
35	7864	24904
36	8045	24570
37	8240	24286
38	8434	24005
39	8587	23615
40	8778	23338
41	9047	23265
42	9417	23433
43	9679	23318
44	10008	23353
45	10208	23080
46	10455	22914
47	10661	22656
48	10840	22345
49	11011	22023
50	11197	21737
51	11373	21433
52	11549	21138
53	11809	20995
54	11948	20639
55	12333	20703
56	12716	20747
57	13028	20665
58	13527	20864
59	13857	20786
60	14319	20892
61	14843	21068
62	15104	20858
63	15254	20498
64	15485	20250
65	15693	19973
66	15872	19663
67	16067	19375
68	16258	19086
69	16481	18835
70	16661	18538
71	16816	18217
72	16962	17891
73	17128	17591
74	17285	17285
75	17449	16990
76	17616	16701
77	17962	16580
78	18485	16613
79	18784	16436
80	19043	16222
81	19283	15991
82	19593	15816
83	19804	15560
84	20052	15334
85	20238	15061
86	20459	14815
87	20630	14534
88	21116	14472
89	21348	14232
90	21723	14084
91	21975	13854
92	22243	13633
93	22585	13455
94	22729	13158
95	22846	12851
96	22947	12538
97	23030	12220
98	23114	11907
99	23192	11596
100	23285	11296
101	23366	10996
102	23458	10704
103	23552	10417
104	23628	10126
105	23713	9843
106	23797	9563
107	23971	9322
108	24097	9064
109	24285	8831
110	24412	8577
111	24496	8311
112	24575	8046
113	24667	7789
114	24747	7531
115	24833	7278
116	24906	7024
117	25107	6808
118	25195	6563
119	25274	6318
120	25348	6075
121	25439	5838
122	25529	5604
123	25733	5395
124	25852	5170
125	25941	4941
126	26034	4714
127	26138	4492
128	26205	4266
129	26273	4042
130	26411	3830
131	26565	3622
132	26747	3418
133	26893	3211
134	27027	3003
135	27197	2799
136	27345	2594
137	27577	2398
138	27729	2194
139	27897	1992
140	28022	1788
141	28234	1590
142	28436	1392
143	28584	1191
144	28710	990
145	28778	788
146	28838	588
147	28893	390
148	28948	194
149	29004	0
